system,ticket_id,class,branch_after_step2,pass,fail_reason,decision,expected_decision,refund_amount,expected_amount,latency_ms,tokens,cost_usd,model_calls,tool_calls,wrong_tool_calls,tool_errors,terminated_by
agent,CD-7001,straight_line,False,False,no_decision,,refund_approved,,49.0,136131.1,1479,0.000268,2,1,0,0,max_wall_seconds
agent,CD-7002,straight_line,False,False,no_decision,,refund_denied,,,893598.2,3340,0.000579,4,2,1,0,max_wall_seconds
agent,CD-7003,tier_dependent,False,False,no_decision,,refund_approved,,480.0,175858.6,4405,0.000754,5,3,2,0,max_wall_seconds
agent,CD-7004,tier_dependent,False,True,,refund_denied,refund_denied,,,196146.6,3341,0.000582,4,2,1,0,
agent,CD-7005,status_branch,True,False,no_decision,,already_refunded,,,25002.6,2343,0.000415,3,1,0,0,
agent,CD-7006,status_branch,True,False,decision refund_denied != refund_approved,refund_denied,refund_approved,,89.0,21386.3,2310,0.000401,3,1,0,0,
agent,CD-7007,missing_order,True,False,no_decision,,escalated,,,351791.2,2405,0.000436,3,1,0,0,
agent,CD-7008,missing_order,True,True,,escalated,escalated,,,19391.5,2324,0.000408,3,1,0,0,
agent,CD-7009,status_branch,True,True,,escalated,escalated,,,30443.0,3294,0.000568,4,2,1,0,
agent,CD-7010,straight_line,False,True,,refund_approved,refund_approved,19.99,19.99,74024.5,4441,0.000773,5,2,1,0,
workflow,CD-7001,straight_line,False,True,,refund_approved,refund_approved,49.0,49.0,293558.8,195,5e-05,3,3,0,0,
workflow,CD-7002,straight_line,False,True,,refund_denied,refund_denied,,,3927.7,185,4.5e-05,3,3,0,0,
workflow,CD-7003,tier_dependent,False,True,,refund_approved,refund_approved,480.0,480.0,3917.0,188,4.5e-05,3,3,0,0,
workflow,CD-7004,tier_dependent,False,True,,refund_denied,refund_denied,,,4574.6,185,4.5e-05,3,3,0,0,
workflow,CD-7005,status_branch,True,True,,already_refunded,already_refunded,,,4437.3,167,3.5e-05,3,3,0,0,
workflow,CD-7006,status_branch,True,True,,refund_approved,refund_approved,89.0,89.0,4043.0,185,4.6e-05,3,3,0,0,
workflow,CD-7007,missing_order,True,True,,escalated,escalated,,,2920.4,164,3.5e-05,3,3,0,1,
workflow,CD-7008,missing_order,True,True,,escalated,escalated,,,1899.2,159,3.2e-05,2,2,0,0,
workflow,CD-7009,status_branch,True,True,,escalated,escalated,,,3596.7,176,4.2e-05,3,3,0,0,
workflow,CD-7010,straight_line,False,True,,refund_approved,refund_approved,19.99,19.99,3994.8,189,4.6e-05,3,3,0,0,
