system,ticket_id,class,branch_after_step2,pass,fail_reason,decision,expected_decision,refund_amount,expected_amount,latency_ms,tokens,cost_usd,model_calls,tool_calls,wrong_tool_calls,tool_errors,terminated_by
agent,CD-7001,straight_line,False,False,no_decision,,refund_approved,,49.0,156525.8,3470,0.000597,4,1,0,0,max_wall_seconds
agent,CD-7002,straight_line,False,False,no_decision,,refund_denied,,,139765.8,3441,0.000565,4,3,0,0,max_wall_seconds
agent,CD-7003,tier_dependent,False,False,no_decision,,refund_approved,,480.0,161640.0,3362,0.000553,4,2,1,0,max_wall_seconds
agent,CD-7004,tier_dependent,False,False,no_decision,,refund_denied,,,151992.5,3462,0.000579,4,3,1,0,max_wall_seconds
agent,CD-7005,status_branch,True,False,no_decision,,already_refunded,,,167788.4,3335,0.000545,4,2,1,0,max_wall_seconds
agent,CD-7006,status_branch,True,False,no_decision,,refund_approved,,89.0,142366.7,3343,0.000547,4,2,1,0,max_wall_seconds
agent,CD-7007,missing_order,True,False,no_decision,,escalated,,,146004.6,3348,0.000547,4,2,1,0,max_wall_seconds
agent,CD-7008,missing_order,True,False,no_decision,,escalated,,,149666.2,3368,0.000567,4,1,0,0,max_wall_seconds
agent,CD-7009,status_branch,True,False,no_decision,,escalated,,,157267.6,4453,0.000737,5,2,1,0,max_wall_seconds
agent,CD-7010,straight_line,False,False,no_decision,,refund_approved,,19.99,150798.4,4500,0.000751,5,2,0,0,max_wall_seconds
workflow,CD-7001,straight_line,False,True,,refund_approved,refund_approved,49.0,49.0,5303.1,195,5e-05,3,3,0,0,
workflow,CD-7002,straight_line,False,True,,refund_denied,refund_denied,,,3688.2,185,4.5e-05,3,3,0,0,
workflow,CD-7003,tier_dependent,False,True,,refund_approved,refund_approved,480.0,480.0,3659.7,188,4.5e-05,3,3,0,0,
workflow,CD-7004,tier_dependent,False,True,,refund_denied,refund_denied,,,3602.6,185,4.5e-05,3,3,0,0,
workflow,CD-7005,status_branch,True,True,,already_refunded,already_refunded,,,2474.6,167,3.5e-05,3,3,0,0,
workflow,CD-7006,status_branch,True,True,,refund_approved,refund_approved,89.0,89.0,3840.2,185,4.6e-05,3,3,0,0,
workflow,CD-7007,missing_order,True,True,,escalated,escalated,,,2405.4,164,3.5e-05,3,3,0,1,
workflow,CD-7008,missing_order,True,True,,escalated,escalated,,,1801.2,159,3.2e-05,2,2,0,0,
workflow,CD-7009,status_branch,True,True,,escalated,escalated,,,3272.8,176,4.2e-05,3,3,0,0,
workflow,CD-7010,straight_line,False,True,,refund_approved,refund_approved,19.99,19.99,3604.3,189,4.6e-05,3,3,0,0,
